year,track,team,starting_pos,weather,num_stops,total_time
2018,Australian Grand Prix,Toro Rosso,17.0,Unknown,1,6607.21
2018,Australian Grand Prix,Force India,12.0,Unknown,1,10853.661
2018,Australian Grand Prix,McLaren,10.0,Unknown,1,10809.373
2018,Australian Grand Prix,Sauber,18.0,Unknown,2,5924.138
2018,Australian Grand Prix,Williams,14.0,Unknown,2,5837.718
2018,Australian Grand Prix,Haas F1 Team,4.0,Unknown,0,4204.345
2018,Australian Grand Prix,Renault,7.0,Unknown,1,10824.959
2018,Australian Grand Prix,Red Bull Racing,8.0,Unknown,1,10782.58
2018,Australian Grand Prix,Mercedes,1.0,Unknown,1,10785.941
2018,Australian Grand Prix,Ferrari,3.0,Unknown,1,10752.875
2018,Bahrain Grand Prix,Toro Rosso,5.0,Unknown,2,11038.558
2018,Bahrain Grand Prix,Force India,20.0,Unknown,2,11095.155
2018,Bahrain Grand Prix,McLaren,9.0,Unknown,2,11056.679
2018,Bahrain Grand Prix,Sauber,17.0,Unknown,2,11093.131
2018,Bahrain Grand Prix,Williams,15.0,Unknown,2,11033.073
2018,Bahrain Grand Prix,Haas F1 Team,6.0,Unknown,3,11156.032
2018,Bahrain Grand Prix,Renault,8.0,Unknown,2,11171.269
2018,Bahrain Grand Prix,Red Bull Racing,4.0,Unknown,1,330.45
2018,Bahrain Grand Prix,Mercedes,10.0,Unknown,1,10859.099
2018,Bahrain Grand Prix,Ferrari,1.0,Unknown,1,8763.325
2018,Chinese Grand Prix,Red Bull Racing,6.0,Unknown,1,10856.576
2018,Chinese Grand Prix,Mercedes,2.0,Unknown,1,10863.738
2018,Chinese Grand Prix,Ferrari,4.0,Unknown,1,11041.029
2018,Chinese Grand Prix,Renault,7.0,Unknown,1,11227.294
2018,Chinese Grand Prix,McLaren,11.0,Unknown,1,11552.772
2018,Chinese Grand Prix,Haas F1 Team,10.0,Unknown,1,11577.65
2018,Chinese Grand Prix,Force India,13.0,Unknown,1,11561.535
2018,Chinese Grand Prix,Williams,12.0,Unknown,1,11586.491
2018,Chinese Grand Prix,Sauber,20.0,Unknown,1,10988.292
2018,Chinese Grand Prix,Toro Rosso,19.0,Unknown,1,10639.391
2018,Azerbaijan Grand Prix,Toro Rosso,11.0,Unknown,2,9574.786
2018,Azerbaijan Grand Prix,Force India,9.0,Unknown,2,4554.517
2018,Azerbaijan Grand Prix,McLaren,16.0,Unknown,4,9554.345
2018,Azerbaijan Grand Prix,Sauber,12.0,Unknown,3,10030.986
2018,Azerbaijan Grand Prix,Williams,8.0,Unknown,2,4590.81
2018,Azerbaijan Grand Prix,Haas F1 Team,17.0,Unknown,2,9106.361
2018,Azerbaijan Grand Prix,Renault,10.0,Unknown,2,5285.916
2018,Azerbaijan Grand Prix,Red Bull Racing,4.0,Unknown,1,7681.595
2018,Azerbaijan Grand Prix,Mercedes,2.0,Unknown,2,8383.185
2018,Azerbaijan Grand Prix,Ferrari,1.0,Unknown,2,8913.077
2018,Spanish Grand Prix,Toro Rosso,,Unknown,1,5598.016
2018,Spanish Grand Prix,Force India,13.0,Unknown,2,8949.029
2018,Spanish Grand Prix,McLaren,11.0,Unknown,1,9654.328
2018,Spanish Grand Prix,Sauber,9.0,Unknown,1,11182.52
2018,Spanish Grand Prix,Williams,12.0,Unknown,2,11323.404
2018,Spanish Grand Prix,Haas F1 Team,7.0,Unknown,1,5592.309
2018,Spanish Grand Prix,Renault,,Unknown,1,5629.002
2018,Spanish Grand Prix,Red Bull Racing,6.0,Unknown,1,11224.297
2018,Spanish Grand Prix,Mercedes,1.0,Unknown,1,11168.657
2018,Spanish Grand Prix,Ferrari,2.0,Unknown,2,7856.197
2018,Monaco Grand Prix,Toro Rosso,10.0,Unknown,1,11773.747
2018,Monaco Grand Prix,Force India,9.0,Unknown,1,12443.742
2018,Monaco Grand Prix,McLaren,7.0,Unknown,2,10318.814
2018,Monaco Grand Prix,Sauber,14.0,Unknown,1,11820.923
2018,Monaco Grand Prix,Williams,16.0,Unknown,3,12433.946
2018,Monaco Grand Prix,Haas F1 Team,19.0,Unknown,2,12454.68
2018,Monaco Grand Prix,Renault,11.0,Unknown,1,12443.466
2018,Monaco Grand Prix,Red Bull Racing,1.0,Unknown,1,12374.931
2018,Monaco Grand Prix,Mercedes,3.0,Unknown,1,12385.449
2018,Monaco Grand Prix,Ferrari,2.0,Unknown,1,12375.077
2018,Canadian Grand Prix,Ferrari,1.0,Unknown,1,10952.043
2018,Canadian Grand Prix,Mercedes,2.0,Unknown,1,10951.894
2018,Canadian Grand Prix,Red Bull Racing,3.0,Unknown,1,10948.165
2018,Canadian Grand Prix,Renault,8.0,Unknown,1,10978.116
2018,Canadian Grand Prix,Force India,7.0,Unknown,2,11001.922
2018,Canadian Grand Prix,Sauber,11.0,Unknown,1,10976.787
2018,Canadian Grand Prix,Toro Rosso,15.0,Unknown,1,5507.448
2018,Canadian Grand Prix,Haas F1 Team,16.0,Unknown,1,11019.242
2018,Canadian Grand Prix,McLaren,18.0,Unknown,1,8760.959
2018,Canadian Grand Prix,Williams,13.0,Unknown,1,5498.701
2018,French Grand Prix,Toro Rosso,,Unknown,1,5158.217
2018,French Grand Prix,Force India,9.0,Unknown,0,2762.306
